Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
0.24537423,385945.67999393,-1267.63478786,903.32894200,-1.17012899,-1.10905103,-0.28987263
0.24670778,385805.93846062,-1388.51829898,865.25951041,-1.25340421,-0.98743030,-0.37036765
0.24804134,385657.35466683,-1494.77778366,818.13104329,-1.32347946,-0.85542774,-0.44698362
0.24937490,385501.49356187,-1585.29642535,762.43724827,-1.37961405,-0.71443819,-0.51891632
0.25070845,385339.99696675,-1659.12374405,698.76171434,-1.42121549,-0.56595152,-0.58541118
0.25204201,385174.56611804,-1715.48562787,627.77172637,-1.44784583,-0.41153655,-0.64577125
0.25337556,385006.94358402,-1753.79246668,550.21119103,-1.45922620,-0.25282419,-0.69936464
0.25470912,384838.89475158,-1773.64529964,466.89275169,-1.45523970,-0.09148991,-0.74563114
0.25604267,384672.18908737,-1774.83991621,378.68918034,-1.43593246,0.07076426,-0.78408813
0.25737623,384508.58137771,-1757.36886792,286.52414071,-1.40151290,0.23222796,-0.81433561
0.25870978,384349.79315143,-1721.42137812,191.36242512,-1.35234932,0.39120073,-0.83606028
0.26004334,384197.49448674,-1667.38115395,94.19977096,-1.28896569,0.54601011,-0.84903872
0.26137690,384053.28639678,-1595.82213476,-3.94763157,-1.21203578,0.69502939,-0.85313962
0.26271045,383918.68398272,-1507.50222704,-102.05382746,-1.12237572,0.83669474,-0.84832491
0.26404401,383795.10053073,-1403.35510442,-199.09386566,-1.02093509,0.96952166,-0.83465002
0.26537756,383683.83272093,-1284.48016511,-294.05453381,-0.90878657,1.09212046,-0.81226308
0.26671112,383586.04709886,-1152.13076498,-385.94494560,-0.78711434,1.20321070,-0.78140313
0.26804467,383502.76795027,-1007.70085540,-473.80686953,-0.65720140,1.30163442,-0.74239743
0.26937823,383434.86669776,-852.71017763,-556.72469236,-0.52041583,1.38636797,-0.69565781
0.27071179,383383.05292766,-688.78817264,-633.83491396,-0.37819625,1.45653240,-0.64167622
0.27204534,383347.86712945,-517.65678392,-704.33507820,-0.23203666,1.51140232,-0.58101938
0.27337890,383329.67522042,-341.11233468,-767.49204838,-0.08347069,1.55041309,-0.51432276
0.27471245,383328.66489930,-161.00667415,-822.64954685,0.06594444,1.57316628,-0.44228384
0.27604601,383344.84386393,20.77221116,-869.23488233,0.21464415,1.57943352,-0.36565480
0.27737956,383378.03989812,202.31991815,-906.76480239,0.36107275,1.56915842,-0.28523460
0.27871312,383427.90282449,381.73547723,-934.85041235,0.50369948,1.54245685,-0.20186075
0.28004667,383493.90829141,557.14112894,-953.20111699,0.64103435,1.49961542,-0.11640057
0.28138023,383575.36335370,726.70182596,-961.62754643,0.77164338,1.44108826,-0.02974233
0.28271379,383671.41378063,888.64426502,-960.04344237,0.89416330,1.36749205,0.05721394
0.28404734,383781.05301640,1041.27525683,-948.46648655,1.00731554,1.27959952,0.14356560
0.28538090,383903.13269534,1182.99925265,-927.01806815,1.10991921,1.17833133,0.22841664
0.28671445,384036.37460643,1312.33485140,-895.92199233,1.20090321,1.06474651,0.31088681
0.28804801,384179.38398186,1427.93012620,-855.50214689,1.27931717,0.94003154,0.39012060
0.28938156,384330.66397814,1528.57661574,-806.17914908,1.34434112,0.80548812,0.46529588
0.29071512,384488.63120164,1613.22184488,-748.46600885,1.39529396,0.66251986,0.53563237
0.29204867,384651.63212576,1680.98024599,-682.96284936,1.43164046,0.51261791,0.60039952
0.29338223,384817.96023397,1731.14237570,-610.35073914,1.45299685,0.35734571,0.65892401
0.29471579,384985.87371966,1763.18232872,-531.38469396,1.45913486,0.19832301,0.71059666
0.29604934,385153.61356494,1776.76327701,-446.88591913,1.44998430,0.03720929,0.75487872
0.29738290,385319.42181864,1771.74106987,-357.73336587,1.42563391,-0.12431325,0.79130744
0.29871645,385481.55988956,1748.16585952,-264.85468641,1.38633074,-0.28455697,0.81950095
0.30005001,385638.32667010,1706.28172458,-169.21667507,1.33247788,-0.44184618,0.83916229
0.30138356,385788.07630683,1646.52429390,-71.81529112,1.26463059,-0.59453448,0.85008263
0.30271712,385929.23543440,1569.51638254,26.33463832,1.18349084,-0.74102186,0.85214360
0.30405068,386060.31969611,1476.06168087,124.20993152,1.08990039,-0.87977141,0.84531872
0.30538423,386179.94937619,1367.13654882,220.78967547,0.98483235,-1.00932543,0.82967384
0.30671779,386286.86398052,1243.87999514,315.06585087,0.86938133,-1.12832082,0.80536677
0.30805134,386379.93560654,1107.58193300,406.05384910,0.74475232,-1.23550358,0.77264576
0.30938490,386458.18095981,959.66982943,492.80277198,0.61224830,-1.32974217,0.73184723
0.31071845,386520.77188074,801.69387693,574.40540524,0.47325684,-1.41003973,0.68339242
0.31205201,386567.04426664,635.31083931,650.00776043,0.32923562,-1.47554493,0.62778321
0.31338556,386596.50528204,462.26673320,718.81808141,0.18169726,-1.52556126,0.56559705
0.31471912,386608.83877674,284.37852653,780.11521899,0.03219338,-1.55955479,0.49748105
0.31605268,386603.90883949,103.51504265,833.25627959,-0.11770176,-1.57716018,0.42414531
0.31738623,386581.76144641,-78.42272633,877.68346524,-0.26640800,-1.57818494,0.34635555
0.31871979,386542.62417198,-259.52168876,912.93002550,-0.41235607,-1.56261177,0.26492510
0.32005334,386486.90396372,-437.87688847,938.62525625,-0.55400443,-1.53059911,0.18070635
0.32138690,386415.18299237,-611.61168665,954.49848522,-0.68985579,-1.48247967,0.09458175
0.32272045,386328.21262109,-778.89767093,960.38200043,-0.81847321,-1.41875714,0.00745447
0.32405401,386226.90555003,-937.97407266,956.21288406,-0.93849561,-1.34010100,-0.07976122
0.32538756,386112.32622169,-1087.16647987,942.03373178,-1.04865247,-1.24733944,-0.16614971
0.32672112,385985.67958527,-1224.90463800,917.99224498,-1.14777756,-1.14145065,-0.25080379
0.32805468,385848.29834423,-1349.73914365,884.33970118,-1.23482154,-1.02355233,-0.33283436
0.32938823,385701.62882274,-1460.35684486,841.42831598,-1.30886326,-0.89488976,-0.41137999
0.33072179,385547.21560795,-1555.59478055,789.70752677,-1.36911973,-0.75682235,-0.48561602
0.33205534,385386.68513495,-1634.45250363,729.71923715,-1.41495448,-0.61080911,-0.55476347
0.33338890,385221.72839652,-1696.10265595,662.09207591,-1.44588436,-0.45839285,-0.61809728
0.33472245,385054.08296701,-1739.89967823,587.53473280,-1.46158465,-0.30118364,-0.67495402
0.33605601,384885.51453897,-1765.38656481,506.82844605,-1.46189240,-0.14084142,-0.72473892
0.33738956,384717.79817479,-1772.29959049,420.81872396,-1.44680804,0.02094175,-0.76693210
0.33872312,384552.69947884,-1760.57096498,330.40639274,-1.41649513,0.18245989,-0.80109406
0.34005668,384391.95589520,-1730.32938894,236.53806868,-1.37127844,0.34201127,-0.82687015
0.34139023,384237.25833356,-1681.89851435,140.19615964,-1.31164020,0.49791662,-0.84399426
0.34272379,384090.23332149,-1615.79333037,42.38850461,-1.23821470,0.64853688,-0.85229143
0.34405734,383952.42587337,-1532.71452331,-55.86223599,-1.15178126,0.79229057,-0.85167954
0.34539090,383825.28325798,-1433.54087711,-153.52932510,-1.05325571,0.92767042,-0.84216997
0.34672445,383710.13983464,-1319.31980550,-249.59271386,-0.94368036,1.05325914,-0.82386730
0.34805801,383608.20311587,-1191.25612318,-343.04971223,-0.82421275,1.16774417,-0.79696797
0.34939157,383520.54119866,-1050.69918441,-432.92545316,-0.69611317,1.26993129,-0.76175804
0.35072512,383448.07169228,-899.12853139,-518.28304107,-0.56073120,1.35875682,-0.71860996
0.35205868,383391.55225162,-738.13821146,-598.23328003,-0.41949133,1.43329851,-0.66797851
0.35339223,383351.57280903,-569.41993275,-671.94388177,-0.27387787,1.49278481,-0.61039584
0.35472579,383328.54957718,-394.74524069,-738.64806088,-0.12541932,1.53660258,-0.54646579
0.35605934,383322.72087843,-215.94690396,-797.65243060,0.02432764,1.56430309,-0.47685746
0.35739290,383334.14483451,-34.89970722,-848.34412186,0.17379445,1.57560633,-0.40229818
0.35872645,383362.69893393,146.49914990,-890.19705523,0.32141692,1.57040350,-0.32356582
0.36006001,383408.08147202,326.34984400,-922.77730633,0.46565144,1.54875782,-0.24148077
0.36139357,383469.81484354,502.76970697,-945.74751297,0.60499093,1.51090356,-0.15689734
0.36272712,383547.25064557,673.91279140,-958.87028385,0.73798026,1.45724327,-0.07069504
0.36406068,383639.57653480,837.98902477,-962.01057718,0.86323127,1.38834340,0.01623055
0.36539423,383745.82476278,993.28276053,-955.13702938,0.97943688,1.30492825,0.10297688
0.36672779,383864.88230034,1138.17054036,-938.32222242,1.08538449,1.20787236,0.18864372
0.36806134,383995.50244447,1271.13789190,-911.74189075,1.17996835,1.09819136,0.27234229
0.36939490,384136.31778981,1390.79499443,-875.67307659,1.26220080,0.97703148,0.35320434
0.37072845,384285.85443209,1495.89105860,-830.49125436,1.33122245,0.84565776,0.43039096
0.37206201,384442.54726137,1585.32727656,-776.66645283,1.38631089,0.70544104,0.50310115
0.37339557,384604.75619123,1658.16821499,-714.75841477,1.42688818,0.55784393,0.57057996
0.37472912,384770.78316248,1713.65153585,-645.41084102,1.45252683,0.40440589,0.63212623
0.37606268,384938.88975156,1751.19594812,-569.34477644,1.46295430,0.24672744,0.68709972
0.37739623,385107.31520847,1770.40730737,-487.35120148,1.45805595,0.08645382,0.73492775
0.37872979,385274.29474386,1771.08280056,-400.28290271,1.43787641,-0.07474189,0.77511108
0.38006334,385438.07788219,1753.21316817,-309.04570094,1.40261932,-0.23517590,0.80722918
0.38139690,385596.94669605,1716.98293770,-214.58912369,1.35264558,-0.39317109,0.83094459
0.38273046,385749.23373666,1662.76865830,-117.89661347,1.28846982,-0.54707431,0.84600659
0.38406401,385893.33947761,1591.13514895,-19.97536916,1.21075544,-0.69527352,0.85225392
0.38539757,386027.74909150,1502.82978918,78.15407801,1.12030805,-0.83621459,0.84961664
0.38673112,386151.04838497,1398.77490364,175.46844913,1.01806741,-0.96841758,0.83811707
0.38806468,386261.93872392,1280.05830944,270.95235515,0.90509797,-1.09049230,0.81786977
0.38939823,386359.25078944,1147.92211584,363.60887829,0.78257805,-1.20115307,0.78908057
0.39073179,386441.95701555,1003.74988385,452.46998759,0.65178779,-1.29923242,0.75204466
0.39206534,386509.18257162,849.05227202,536.60667951,0.51409599,-1.38369362,0.70714374
0.39339890,386560.21476670,685.45131143,615.13873607,0.37094587,-1.45364193,0.65484225
0.39473246,386594.51076797,514.66346931,687.24399624,0.22384007,-1.50833435,0.59568266
