Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-3.79494874,590031.85162714,-278711.68591130,29379.04147839,-1.49982998,0.14632917,-0.08334636
-3.79394849,589902.24858531,-278699.01617718,29371.83838514,-1.49949038,0.14687837,-0.08335022
-3.79294824,589772.67489898,-278686.29898530,29364.63495838,-1.49915063,0.14742745,-0.08335408
-3.79194799,589643.13058083,-278673.53434657,29357.43119799,-1.49881073,0.14797640,-0.08335794
-3.79094774,589513.61564350,-278660.72227193,29350.22710386,-1.49847068,0.14852523,-0.08336180
-3.78994749,589384.13009964,-278647.86277230,29343.02267588,-1.49813049,0.14907393,-0.08336567
-3.78894724,589254.67396189,-278634.95585862,29335.81791394,-1.49779016,0.14962250,-0.08336953
-3.78794699,589125.24724289,-278622.00154182,29328.61281793,-1.49744967,0.15017095,-0.08337340
-3.78694674,588995.84995528,-278608.99983285,29321.40738774,-1.49710904,0.15071927,-0.08337727
-3.78594649,588866.48211169,-278595.95074264,29314.20162326,-1.49676827,0.15126746,-0.08338114
-3.78494624,588737.14372474,-278582.85428214,29306.99552437,-1.49642735,0.15181553,-0.08338501
-3.78394599,588607.83480706,-278569.71046229,29299.78909098,-1.49608628,0.15236347,-0.08338888
-3.78294574,588478.55537125,-278556.51929405,29292.58232296,-1.49574507,0.15291128,-0.08339275
-3.78194549,588349.30542994,-278543.28078837,29285.37522021,-1.49540371,0.15345897,-0.08339662
-3.78094524,588220.08499573,-278529.99495619,29278.16778261,-1.49506220,0.15400653,-0.08340050
-3.77994499,588090.89408122,-278516.66180849,29270.96001006,-1.49472055,0.15455396,-0.08340438
-3.77894474,587961.73269901,-278503.28135622,29263.75190244,-1.49437876,0.15510127,-0.08340825
-3.77794449,587832.60086169,-278489.85361034,29256.54345965,-1.49403682,0.15564845,-0.08341213
-3.77694424,587703.49858185,-278476.37858182,29249.33468157,-1.49369473,0.15619550,-0.08341601
-3.77594399,587574.42587209,-278462.85628163,29242.12556809,-1.49335249,0.15674243,-0.08341989
-3.77494374,587445.38274497,-278449.28672074,29234.91611910,-1.49301012,0.15728923,-0.08342378
-3.77394349,587316.36921307,-278435.66991012,29227.70633450,-1.49266759,0.15783590,-0.08342766
-3.77294324,587187.38528897,-278422.00586075,29220.49621416,-1.49232492,0.15838244,-0.08343155
-3.77194299,587058.43098523,-278408.29458361,29213.28575798,-1.49198211,0.15892886,-0.08343543
-3.77094274,586929.50631440,-278394.53608968,29206.07496584,-1.49163915,0.15947515,-0.08343932
-3.76994249,586800.61128906,-278380.73038994,29198.86383764,-1.49129604,0.16002131,-0.08344321
-3.76894224,586671.74592175,-278366.87749539,29191.65237327,-1.49095279,0.16056735,-0.08344710
-3.76794199,586542.91022501,-278352.97741701,29184.44057261,-1.49060939,0.16111326,-0.08345099
-3.76694174,586414.10421140,-278339.03016580,29177.22843555,-1.49026585,0.16165904,-0.08345489
-3.76594149,586285.32789344,-278325.03575275,29170.01596199,-1.48992216,0.16220470,-0.08345878
-3.76494124,586156.58128368,-278310.99418886,29162.80315180,-1.48957833,0.16275022,-0.08346268
-3.76394099,586027.86439465,-278296.90548514,29155.59000488,-1.48923436,0.16329562,-0.08346657
-3.76294074,585899.17723886,-278282.76965257,29148.37652112,-1.48889024,0.16384090,-0.08347047
-3.76194049,585770.51982884,-278268.58670218,29141.16270040,-1.48854597,0.16438604,-0.08347437
-3.76094024,585641.89217711,-278254.35664496,29133.94854262,-1.48820156,0.16493106,-0.08347827
-3.75993998,585513.29429617,-278240.07949194,29126.73404766,-1.48785700,0.16547595,-0.08348217
-3.75893973,585384.72619853,-278225.75525412,29119.51921541,-1.48751230,0.16602071,-0.08348608
-3.75793948,585256.18789670,-278211.38394253,29112.30404577,-1.48716746,0.16656535,-0.08348998
-3.75693923,585127.67940317,-278196.96556817,29105.08853861,-1.48682247,0.16710986,-0.08349389
-3.75593898,584999.20073044,-278182.50014208,29097.87269383,-1.48647733,0.16765424,-0.08349780
-3.75493873,584870.75189099,-278167.98767528,29090.65651131,-1.48613206,0.16819849,-0.08350170
-3.75393848,584742.33289730,-278153.42817880,29083.43999094,-1.48578663,0.16874261,-0.08350561
-3.75293823,584613.94376186,-278138.82166367,29076.22313262,-1.48544107,0.16928661,-0.08350953
-3.75193798,584485.58449713,-278124.16814091,29069.00593623,-1.48509535,0.16983048,-0.08351344
-3.75093773,584357.25511560,-278109.46762157,29061.78840166,-1.48474950,0.17037422,-0.08351735
-3.74993748,584228.95562972,-278094.72011669,29054.57052879,-1.48440350,0.17091784,-0.08352127
-3.74893723,584100.68605195,-278079.92563730,29047.35231751,-1.48405735,0.17146132,-0.08352518
-3.74793698,583972.44639476,-278065.08419445,29040.13376772,-1.48371106,0.17200468,-0.08352910
-3.74693673,583844.23667059,-278050.19579918,29032.91487930,-1.48336463,0.17254791,-0.08353302
-3.74593648,583716.05689188,-278035.26046255,29025.69565214,-1.48301806,0.17309102,-0.08353694
-3.74493623,583587.90707109,-278020.27819561,29018.47608613,-1.48267134,0.17363399,-0.08354086
-3.74393598,583459.78722064,-278005.24900940,29011.25618115,-1.48232447,0.17417684,-0.08354479
-3.74293573,583331.69735297,-277990.17291500,29004.03593709,-1.48197746,0.17471956,-0.08354871
-3.74193548,583203.63748052,-277975.04992345,28996.81535385,-1.48163031,0.17526215,-0.08355263
-3.74093523,583075.60761569,-277959.88004582,28989.59443130,-1.48128302,0.17580461,-0.08355656
-3.73993498,582947.60777092,-277944.66329317,28982.37316934,-1.48093558,0.17634695,-0.08356049
-3.73893473,582819.63795861,-277929.39967657,28975.15156785,-1.48058799,0.17688916,-0.08356442
-3.73793448,582691.69819118,-277914.08920710,28967.92962672,-1.48024027,0.17743123,-0.08356835
-3.73693423,582563.78848103,-277898.73189582,28960.70734585,-1.47989240,0.17797319,-0.08357228
-3.73593398,582435.90884056,-277883.32775381,28953.48472511,-1.47954438,0.17851501,-0.08357622
-3.73493373,582308.05928217,-277867.87679215,28946.26176439,-1.47919623,0.17905670,-0.08358015
-3.73393348,582180.23981824,-277852.37902192,28939.03846359,-1.47884793,0.17959827,-0.08358409
-3.73293323,582052.45046117,-277836.83445420,28931.81482259,-1.47849948,0.18013971,-0.08358802
-3.73193298,581924.69122334,-277821.24310008,28924.59084127,-1.47815090,0.18068102,-0.08359196
-3.73093273,581796.96211712,-277805.60497064,28917.36651954,-1.47780217,0.18122220,-0.08359590
-3.72993248,581669.26315488,-277789.92007699,28910.14185726,-1.47745329,0.18176325,-0.08359984
-3.72893223,581541.59434901,-277774.18843020,28902.91685433,-1.47710428,0.18230418,-0.08360378
-3.72793198,581413.95571185,-277758.41004139,28895.69151064,-1.47675512,0.18284497,-0.08360773
-3.72693173,581286.34725576,-277742.58492164,28888.46582608,-1.47640582,0.18338564,-0.08361167
-3.72593148,581158.76899311,-277726.71308207,28881.23980053,-1.47605637,0.18392618,-0.08361562
-3.72493123,581031.22093624,-277710.79453377,28874.01343387,-1.47570678,0.18446659,-0.08361957
-3.72393098,580903.70309749,-277694.82928785,28866.78672601,-1.47535705,0.18500687,-0.08362352
-3.72293073,580776.21548921,-277678.81735542,28859.55967681,-1.47500718,0.18554703,-0.08362747
-3.72193048,580648.75812373,-277662.75874759,28852.33228618,-1.47465716,0.18608705,-0.08363142
