Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-0.15677613,55896.73106448,9745.32660930,0.00000000,2.98910496,1.50557508,0.00000000
-0.15752625,56090.25608701,9842.83628770,0.00000000,2.98290167,1.50348167,0.00000000
-0.15827638,56283.38054769,9940.21036468,0.00000000,2.97674391,1.50139056,0.00000000
-0.15902650,56476.10738019,10037.44899072,0.00000000,2.97063115,1.49930179,0.00000000
-0.15977663,56668.43948347,10134.55231947,0.00000000,2.96456285,1.49721542,0.00000000
-0.16052675,56860.37972235,10231.52050766,0.00000000,2.95853850,1.49513149,0.00000000
-0.16127688,57051.93092808,10328.35371497,0.00000000,2.95255757,1.49305004,0.00000000
-0.16202700,57243.09589886,10425.05210395,0.00000000,2.94661957,1.49097113,0.00000000
-0.16277713,57433.87740039,10521.61583987,0.00000000,2.94072399,1.48889478,0.00000000
-0.16352725,57624.27816641,10618.04509064,0.00000000,2.93487035,1.48682105,0.00000000
-0.16427738,57814.30089917,10714.34002674,0.00000000,2.92905817,1.48474997,0.00000000
-0.16502750,58003.94826995,10810.50082105,0.00000000,2.92328696,1.48268157,0.00000000
-0.16577763,58193.22291957,10906.52764884,0.00000000,2.91755627,1.48061589,0.00000000
-0.16652775,58382.12745882,11002.42068762,0.00000000,2.91186563,1.47855297,0.00000000
-0.16727788,58570.66446900,11098.18011708,0.00000000,2.90621459,1.47649284,0.00000000
-0.16802800,58758.83650232,11193.80611899,0.00000000,2.90060271,1.47443553,0.00000000
-0.16877813,58946.64608238,11289.29887714,0.00000000,2.89502956,1.47238107,0.00000000
-0.16952825,59134.09570464,11384.65857723,0.00000000,2.88949469,1.47032949,0.00000000
-0.17027838,59321.18783678,11479.88540682,0.00000000,2.88399768,1.46828082,0.00000000
-0.17102850,59507.92491919,11574.97955524,0.00000000,2.87853812,1.46623508,0.00000000
-0.17177863,59694.30936535,11669.94121353,0.00000000,2.87311559,1.46419230,0.00000000
-0.17252875,59880.34356228,11764.77057433,0.00000000,2.86772969,1.46215251,0.00000000
-0.17327888,60066.02987092,11859.46783187,0.00000000,2.86238002,1.46011572,0.00000000
-0.17402900,60251.37062651,11954.03318186,0.00000000,2.85706619,1.45808197,0.00000000
-0.17477913,60436.36813902,12048.46682144,0.00000000,2.85178780,1.45605127,0.00000000
-0.17552925,60621.02469347,12142.76894912,0.00000000,2.84654448,1.45402364,0.00000000
-0.17627938,60805.34255035,12236.93976472,0.00000000,2.84133585,1.45199910,0.00000000
-0.17702950,60989.32394594,12330.97946928,0.00000000,2.83616154,1.44997768,0.00000000
-0.17777963,61172.97109272,12424.88826508,0.00000000,2.83102119,1.44795938,0.00000000
-0.17852975,61356.28617967,12518.66635550,0.00000000,2.82591443,1.44594424,0.00000000
-0.17927988,61539.27137265,12612.31394500,0.00000000,2.82084091,1.44393225,0.00000000
-0.18003001,61721.92881472,12705.83123909,0.00000000,2.81580029,1.44192345,0.00000000
-0.18078013,61904.26062647,12799.21844424,0.00000000,2.81079221,1.43991783,0.00000000
-0.18153026,62086.26890637,12892.47576787,0.00000000,2.80581635,1.43791543,0.00000000
-0.18228038,62267.95573106,12985.60341826,0.00000000,2.80087236,1.43591624,0.00000000
-0.18303051,62449.32315567,13078.60160453,0.00000000,2.79595991,1.43392029,0.00000000
-0.18378063,62630.37321416,13171.47053660,0.00000000,2.79107868,1.43192758,0.00000000
-0.18453076,62811.10791957,13264.21042514,0.00000000,2.78622836,1.42993813,0.00000000
-0.18528088,62991.52926435,13356.82148150,0.00000000,2.78140862,1.42795195,0.00000000
-0.18603101,63171.63922065,13449.30391773,0.00000000,2.77661915,1.42596904,0.00000000
-0.18678113,63351.43974059,13541.65794648,0.00000000,2.77185965,1.42398941,0.00000000
-0.18753126,63530.93275655,13633.88378099,0.00000000,2.76712982,1.42201308,0.00000000
-0.18828138,63710.12018146,13725.98163505,0.00000000,2.76242935,1.42004006,0.00000000
-0.18903151,63889.00390905,13817.95172296,0.00000000,2.75775796,1.41807034,0.00000000
-0.18978163,64067.58581411,13909.79425952,0.00000000,2.75311535,1.41610395,0.00000000
-0.19053176,64245.86775278,14001.50945994,0.00000000,2.74850123,1.41414087,0.00000000
-0.19128188,64423.85156278,14093.09753986,0.00000000,2.74391533,1.41218113,0.00000000
-0.19203201,64601.53906368,14184.55871529,0.00000000,2.73935737,1.41022472,0.00000000
-0.19278213,64778.93205715,14275.89320260,0.00000000,2.73482707,1.40827165,0.00000000
-0.19353226,64956.03232719,14367.10121846,0.00000000,2.73032416,1.40632193,0.00000000
-0.19428238,65132.84164038,14458.18297983,0.00000000,2.72584837,1.40437556,0.00000000
-0.19503251,65309.36174610,14549.13870393,0.00000000,2.72139945,1.40243254,0.00000000
-0.19578263,65485.59437678,14639.96860822,0.00000000,2.71697712,1.40049288,0.00000000
-0.19653276,65661.54124810,14730.67291037,0.00000000,2.71258114,1.39855658,0.00000000
-0.19728288,65837.20405927,14821.25182819,0.00000000,2.70821125,1.39662364,0.00000000
-0.19803301,66012.58449316,14911.70557970,0.00000000,2.70386720,1.39469407,0.00000000
-0.19878313,66187.68421661,15002.03438300,0.00000000,2.69954875,1.39276786,0.00000000
-0.19953326,66362.50488057,15092.23845632,0.00000000,2.69525565,1.39084502,0.00000000
-0.20028338,66537.04812035,15182.31801798,0.00000000,2.69098766,1.38892554,0.00000000
-0.20103351,66711.31555582,15272.27328634,0.00000000,2.68674455,1.38700944,0.00000000
-0.20178363,66885.30879159,15362.10447980,0.00000000,2.68252608,1.38509671,0.00000000
-0.20253376,67059.02941723,15451.81181680,0.00000000,2.67833202,1.38318735,0.00000000
-0.20328388,67232.47900746,15541.39551575,0.00000000,2.67416215,1.38128136,0.00000000
-0.20403401,67405.65912234,15630.85579506,0.00000000,2.67001623,1.37937874,0.00000000
-0.20478413,67578.57130744,15720.19287308,0.00000000,2.66589405,1.37747948,0.00000000
-0.20553426,67751.21709407,15809.40696811,0.00000000,2.66179539,1.37558360,0.00000000
-0.20628438,67923.59799942,15898.49829837,0.00000000,2.65772003,1.37369108,0.00000000
-0.20703451,68095.71552676,15987.46708198,0.00000000,2.65366776,1.37180192,0.00000000
-0.20778463,68267.57116562,16076.31353696,0.00000000,2.64963837,1.36991613,0.00000000
-0.20853476,68439.16639193,16165.03788120,0.00000000,2.64563164,1.36803370,0.00000000
-0.20928488,68610.50266823,16253.64033244,0.00000000,2.64164738,1.36615463,0.00000000
-0.21003501,68781.58144382,16342.12110826,0.00000000,2.63768538,1.36427891,0.00000000
-0.21078513,68952.40415493,16430.48042607,0.00000000,2.63374544,1.36240655,0.00000000
-0.21153526,69122.97222489,16518.71850308,0.00000000,2.62982736,1.36053754,0.00000000
-0.21228538,69293.28706430,16606.83555632,0.00000000,2.62593095,1.35867187,0.00000000
-0.21303551,69463.35007113,16694.83180258,0.00000000,2.62205601,1.35680955,0.00000000
-0.21378563,69633.16263095,16782.70745844,0.00000000,2.61820236,1.35495056,0.00000000
-0.21453576,69802.72611705,16870.46274021,0.00000000,2.61436980,1.35309492,0.00000000
-0.21528588,69972.04189057,16958.09786399,0.00000000,2.61055816,1.35124260,0.00000000
-0.21603601,70141.11130067,17045.61304557,0.00000000,2.60676723,1.34939361,0.00000000
-0.21678613,70309.93568468,17133.00850048,0.00000000,2.60299685,1.34754795,0.00000000
-0.21753626,70478.51636822,17220.28444398,0.00000000,2.59924684,1.34570560,0.00000000
-0.21828638,70646.85466539,17307.44109100,0.00000000,2.59551701,1.34386657,0.00000000
-0.21903651,70814.95187883,17394.47865619,0.00000000,2.59180719,1.34203085,0.00000000
-0.21978663,70982.80929995,17481.39735385,0.00000000,2.58811722,1.34019843,0.00000000
-0.22053676,71150.42820897,17568.19739798,0.00000000,2.58444691,1.33836931,0.00000000
-0.22128688,71317.80987514,17654.87900222,0.00000000,2.58079610,1.33654349,0.00000000
-0.22203701,71484.95555681,17741.44237987,0.00000000,2.57716462,1.33472095,0.00000000
-0.22278713,71651.86650160,17827.88774387,0.00000000,2.57355231,1.33290170,0.00000000
-0.22353726,71818.54394648,17914.21530681,0.00000000,2.56995901,1.33108572,0.00000000
-0.22428738,71984.98911794,18000.42528088,0.00000000,2.56638455,1.32927301,0.00000000
-0.22503751,72151.20323209,18086.51787792,0.00000000,2.56282877,1.32746357,0.00000000
